价格：¥5499.00   型号：宏碁（acer）暗影骑士 VN7 V Nitro 15.6英寸游戏本 （i5-4210H 4G 500G GTX860M 2G Win8.1 1920*1080）   商品链接：http://item.jd.com/1235382.html   评论数：2938
价格：¥12398.00   型号：Apple MacBook Pro MF841CH/A 13.3英寸宽屏笔记本电脑 512GB 闪存   商品链接：http://item.jd.com/1378542.html   评论数：295
价格：¥3399.00   型号：惠普（HP）经典传奇系列 HP 14-r230TX 14英寸笔记本 （i5-5200U 8G 500G GT820M 2G独显 蓝牙 win8.1)黑色   商品链接：http://item.jd.com/1396669.html   评论数：337
价格：¥3629.00   型号：华硕（ASUS）经典系列R557LI 15.6英寸笔记本电脑（i5-5200U 4G 7200转500G 2G独显 D刻 蓝牙 Win8.1 黑色）   商品链接：http://item.jd.com/1592705.html   评论数：410
价格：¥13588.00   型号：Apple MacBook Pro MJLQ2CH/A 15.4英寸256GB闪存宽屏笔记本电脑   商品链接：http://item.jd.com/1593516.html   评论数：98
价格：¥6699.00   型号：联想（Lenovo）Y430p 14.0英寸游戏本（i7-4710MQ 8G 1T+128GSSD GTX850M 2G独显 FHD高清屏 Win8）黑色   商品链接：http://item.jd.com/1274312.html   评论数：1816
价格：¥6799.00   型号：雷神（ThundeRobot）911-S2b 15.6英寸游戏本（i7-4720HQ 8G 1T GTX960M 2G windows 背光 FHD）黑   商品链接：http://item.jd.com/1463357.html   评论数：553
价格：¥6799.00   型号：微星（msi）GE60 2QE-893XCN 15.6英寸游戏笔记本电脑 (i7-4720HQ 8G 1T GTX960M GDDR5 2G 多彩背光)黑色   商品链接：http://item.jd.com/1387464.html   评论数：639
价格：¥5939.00   型号：联想 (ThinkPad）经典系列T440(B6S00V00)14英寸笔记本超薄本（i5-4200U 4G 500G 1G Win8 6芯电池)   商品链接：http://item.jd.com/1073900.html   评论数：3231
价格：¥4599.00   型号：惠普（HP）轻薄系列 HP 15q-aj006TX 15.6英寸超薄笔记本 （i7-5500U 4G 500G 2G独显 蓝牙 win8.1）   商品链接：http://item.jd.com/1580560.html   评论数：530
价格：¥3499.00   型号：惠普（HP）轻薄系列 HP 15-r239TX 15.6英寸超薄笔记本（i5-5200U 4G 500G GT820M 2G独显 win8.1）金属灰   商品链接：http://item.jd.com/1366149.html   评论数：1237
价格：¥4799.00   型号：联想（ThinkPad） 大屏轻薄系列E550(20DFA00BCD） 15.6英寸全能笔记本 （i5-5200U 8G 500G 2G独显 Win8.1）   商品链接：http://item.jd.com/1352940.html   评论数：1453
价格：¥4399.00   型号：华硕（ASUS）K751LN 17.3英寸笔记本电脑（i5-4210U 4GB 1TB GT840M 2G独显 1920x1080 Win8.1 黑色）   商品链接：http://item.jd.com/1569835.html   评论数：465
价格：¥4499.00   型号：宏碁（acer）E5-572G-528R 15.6英寸游戏本 （i5-4210M 8G 1T 840M 2G独显 1920*1080 Win8.1）   商品链接：http://item.jd.com/1213974.html   评论数：3739
价格：¥3499.00   型号：华硕（ASUS）R455LD 14英寸笔记本电脑（i5-4210U 4G 7200转500GB GT820M 2G独显 D刻 蓝牙 Win8.1 黑色）   商品链接：http://item.jd.com/1247561.html   评论数：7576
价格：¥3299.00   型号：宏碁（acer）E5-471G 14英寸笔记本（i5-5200U 4G 500G GeForce 820M 2G独显 win8.1）珍珠白   商品链接：http://item.jd.com/1506408.html   评论数：623
价格：¥6499.00   型号：雷神（ThundeRobot）911M-M3 15.6英寸游戏本（i7-4720HQ 4G 1T GTX960M 2G 背光 FHD屏）灰   商品链接：http://item.jd.com/1452420.html   评论数：286
价格：¥4999.00   型号：惠普（HP）小苍本—ENVY 15-k301TU 15.6英寸轻奢游戏本（i7-4750HQ 8G 500G 锐炬显卡 蓝牙 win8.1）   商品链接：http://item.jd.com/1363285.html   评论数：1063
价格：¥1999.00   型号：华硕（ASUS）轻薄便携系列 思聪本X205 11.6英寸超薄本（四核 2G 128G固态硬盘 蓝牙 Win8.1bing 雪山白）   商品链接：http://item.jd.com/1338059.html   评论数：2231
价格：¥4299.00   型号：联想（Lenovo）U31-70 13.3英寸超薄本（i5-5200U 4G 500G GF920M 2G独显 高清摄像头 Wifi Win8.1）象牙白   商品链接：http://item.jd.com/1579662.html   评论数：235
价格：¥3959.00   型号：联想（ThinkPad） 轻薄系列E450C(20EHA00HCD)14英寸笔记本电脑(i5-4210U 4G 500G 2G独显 Win7)   商品链接：http://item.jd.com/1427405.html   评论数：318
价格：¥8999.00   型号：戴尔（DELL）XPS13R-9343-3708 13.3英寸超极本 （i7-5500U 8G 256G SSD 1080P 蓝牙 Win8.1）银   商品链接：http://item.jd.com/1576711.html   评论数：149
价格：¥5199.00   型号：雷神（ThundeRobot）G150S 15.6英寸游戏本 ( i7-4710MQ 4G 500G GTX950M 2G独显 包无亮点全高清屏) 金   商品链接：http://item.jd.com/1422213.html   评论数：1033
价格：¥3899.00   型号：华硕（ASUS）R557LP 15.6英寸笔记本（i5-5200U 4G 7200转500G 2G独显 D刻 蓝牙 Win8.1 黑色）   商品链接：http://item.jd.com/1359400.html   评论数：1316
价格：¥5229.00   型号：华硕（ASUS）飞行堡垒FX50JX 15.6英寸游戏笔记本电脑（i5-4200H 8G 7200转1TB GTX950M 2G独显 全高清）   商品链接：http://item.jd.com/1664594.html   评论数：143
价格：¥3619.00   型号：华硕（ASUS）经典系列R454LJ 14英寸笔记本电脑（i5-5200U 4G 7200转500G GT920M 2G独显 D刻 Win8.1 黑色）   商品链接：http://item.jd.com/1435650.html   评论数：744
价格：¥4399.00   型号：戴尔（DELL）Ins15M-4528S 灵越15.6英寸质感笔记本电脑（i5-5200U 4G 500G 2G独显 数字小键盘 Win8）银   商品链接：http://item.jd.com/1308549.html   评论数：1812
价格：¥7199.00   型号：神舟（HASEE） 战神Z7-i78172D2 15.6英寸游戏本(i7-4720HQ 8G 1TB GTX970M 3G显存 背光 蓝牙 1080P)黑色   商品链接：http://item.jd.com/1358897.html   评论数：399
价格：¥3899.00   型号：宏碁（acer）V3-572G-5247 15.6英寸笔记本（i5-5200U 4G 8G SSHD+500G 840M 2G独显 1920*1080）银色   商品链接：http://item.jd.com/1512691.html   评论数：534
价格：¥3999.00   型号：联想（Lenovo）小新出色版I2000 14英寸笔记本电脑（i7-5500U 4G 8G SSHD+500G HD5500核显 Win8.1）草莓红   商品链接：http://item.jd.com/1579668.html   评论数：439
价格：¥7748.00   型号：Apple MacBook Air Z0RH0008H 13.3英寸宽屏笔记本电脑 128GB 闪存 定制机   商品链接：http://item.jd.com/1407990.html   评论数：273
价格：¥6799.00   型号：ThinkPad 大屏轻薄系列E550(20DFA01RCD） 15.6英寸全能笔记本 (i7-5500U 8G 1T 2G独显 Win8.1）   商品链接：http://item.jd.com/1504279.html   评论数：158
价格：¥5539.00   型号：微星（MSI）GE60 2QL-1047XCN 15.6英寸游戏笔记本 (i7-4720HQ 4G 1T 7200转 GTX950M 2G独显 D刻)灰   商品链接：http://item.jd.com/1537458.html   评论数：309
价格：¥6199.00   型号：神舟（HASEE）战神Z6-i78154S2 15.6英寸游戏本(i7-4720HQ 8G 1TB+128G GTX960M 2G GDDR5 背光 1080P)黑色   商品链接：http://item.jd.com/1544929.html   评论数：179
价格：¥4899.00   型号：神舟（HASEE） 战神K660D-i7D1 15.6英寸游戏本(i7-4710MQ 4G 1TB GTX860M 2G独显 1080P)黑色   商品链接：http://item.jd.com/1316863.html   评论数：2271
价格：¥5599.00   型号：联想（Lenovo）拯救者 14.0英寸游戏本（i5-4210H 4G 1T GTX960M 2G独显 FHD IPS屏 Win8.1）黑色   商品链接：http://item.jd.com/1666637.html   评论数：273
价格：¥2999.00   型号：联想（Lenovo）G50-70M 15.6英寸笔记本电脑（i3-4005U 4G 500G GT820M 2G独显 DVD刻录 Win8.1）金属黑   商品链接：http://item.jd.com/1435718.html   评论数：255
价格：¥3199.00   型号：戴尔（DELL）灵越 飞匣3000系列Ins14C-4518R 14英寸笔记本电脑（i5-5200U 4G 500G GT820M 1G独显 Win8）红   商品链接：http://item.jd.com/1322881.html   评论数：765
价格：¥4899.00   型号：联想（ThinkPad） 轻薄系列E450C(20EHA00TCD)14英寸笔记本电脑(i5-4210U 8G 1TB 2G独显 Win7)   商品链接：http://item.jd.com/1427425.html   评论数：191
价格：¥4199.00   型号：雷神（ThundeRobot）G150S 15.6英寸游戏本 ( i5-4210M 4G 1T GTX950M 2G独显 包无亮点全高清屏)灰   商品链接：http://item.jd.com/1576567.html   评论数：225
价格：¥4999.00   型号：联想（Lenovo）YOGA3 11 11.6英寸触控超薄本 （5Y10 4G 256G固态硬盘 摄像头 蓝牙 Win8.1）云帆白   商品链接：http://item.jd.com/1316927.html   评论数：826
价格：¥7288.00   型号：Apple MacBook Air MJVP2CH/A 11.6英寸宽屏笔记本电脑 256GB 闪存   商品链接：http://item.jd.com/1378528.html   评论数：261
